File Statistics for big
==================================================

Total file size: 65921 bytes
Number of blocks (16 bytes): 4120
Remaining bytes: 1

Byte frequency analysis:
------------------------------
0x04 (.): 2714 times (4.12%)
0xfb (.): 2499 times (3.79%)
0x03 (.): 2477 times (3.76%)
0x00 (.): 2244 times (3.40%)
0x02 (.): 2193 times (3.33%)
0x01 (.): 2114 times (3.21%)
0xfc (.): 2094 times (3.18%)
0x05 (.): 2025 times (3.07%)
0xfd (.): 1911 times (2.90%)
0x06 (.): 1832 times (2.78%)
0xfe (.): 1770 times (2.69%)
0xfa (.): 1252 times (1.90%)
0x07 (.): 1129 times (1.71%)
0x0a (.): 739 times (1.12%)
0x20 ( ): 727 times (1.10%)
0x76 (v): 720 times (1.09%)
0x77 (w): 713 times (1.08%)
0x09 (.): 689 times (1.05%)
0x08 (.): 681 times (1.03%)
0x78 (x): 672 times (1.02%)
0x11 (.): 660 times (1.00%)
0x7f (.): 650 times (0.99%)
0x6f (o): 638 times (0.97%)
0x73 (s): 633 times (0.96%)
0xff (.): 632 times (0.96%)
0x6e (n): 630 times (0.96%)
0xf8 (.): 630 times (0.96%)
0x7e (~): 628 times (0.95%)
0x0b (.): 625 times (0.95%)
0x10 (.): 624 times (0.95%)
0x0d (.): 620 times (0.94%)
0x72 (r): 620 times (0.94%)
0x75 (u): 619 times (0.94%)
0x74 (t): 614 times (0.93%)
0x70 (p): 611 times (0.93%)
0x12 (.): 608 times (0.92%)
0x0f (.): 608 times (0.92%)
0x0e (.): 602 times (0.91%)
0x7c (|): 594 times (0.90%)
0x0c (.): 588 times (0.89%)
0x79 (y): 587 times (0.89%)
0xf9 (.): 584 times (0.89%)
0x71 (q): 581 times (0.88%)
0x7a (z): 542 times (0.82%)
0x7d (}): 539 times (0.82%)
0x7b ({): 536 times (0.81%)
0x13 (.): 526 times (0.80%)
0x6d (m): 522 times (0.79%)
0x40 (@): 229 times (0.35%)
0x14 (.): 193 times (0.29%)
0x6c (l): 192 times (0.29%)
0xa9 (.): 121 times (0.18%)
0xe8 (.): 117 times (0.18%)
0x3f (?): 115 times (0.17%)
0xe6 (.): 113 times (0.17%)
0x5b ([): 112 times (0.17%)
